Angular Momentum Spectrum, a: 1nm    v: 0.5c   b: 16nm    Lmax: 10 

         w(au)                   dlEdwx                 dlHdwx                   dlEdwy                   dlHdwy                 dlEdwz                dlHdwz                  dlEsdwx                dlHsdwx                   dlEsdwy                   dlHsdwy                dlEsdwz                dlHsdwz              dlEedwx                dlHedwx                   dlEedwy                   dlHedwy                dlEedwz                dlHedwz
1.9026473749989004e-05 0 0 0 0 0 0 0 0 0 0 0 0 4.7756755677866207e-24 5.3475934131846125e-24 4.7756755677866207e-24 5.3475934131846125e-24 0 0 
0.00011466035529547614 0 0 0 0 0 0 0 0 0 0 0 0 3.3295312124966478e-21 1.3926361094154489e-23 3.3295312124966478e-21 1.3926361094154489e-23 0 0 
0.00030909556319275167 0 0 0 0 0 0 0 0 0 0 0 0 1.3258464448306204e-20 -6.3822154137294542e-23 1.3258464448306204e-20 -6.3822154137294542e-23 0 0 
0.00060381002773196579 0 0 0 0 0 0 0 0 0 0 0 0 2.7667743923826808e-20 5.4180330122223313e-23 2.7667743923826808e-20 5.4180330122223313e-23 0 0 
0.00099526141642011789 0 0 0 0 0 0 0 0 0 0 0 0 2.6898259158999354e-20 -2.4727530436507071e-22 2.6898259158999354e-20 -2.4727530436507071e-22 0 0 
0.0014824882151224517 0 0 0 0 0 0 0 0 0 0 0 0 5.6738386166543551e-20 -6.6381244157380471e-23 5.6738386166543551e-20 -6.6381244157380471e-23 0 0 
0.002066858090835122 0 0 0 0 0 0 0 0 0 0 0 0 5.2519351452216833e-20 -2.5663278504457684e-22 5.2519351452216833e-20 -2.5663278504457684e-22 0 0 
0.0027485983073944342 0 0 0 0 0 0 0 0 0 0 0 0 1.0738210557979639e-19 -4.4378239863469935e-22 1.0738210557979639e-19 -4.4378239863469935e-22 0 0 
0.0035262582785906549 0 0 0 0 0 0 0 0 0 0 0 0 1.0439019330419209e-21 8.3979511689446135e-22 1.0439019330419209e-21 8.3979511689446135e-22 0 0 
0.0043988611750225559 0 0 0 0 0 0 0 0 0 0 0 0 1.0596183646804285e-19 -9.6780131668704238e-22 1.0596183646804285e-19 -9.6780131668704238e-22 0 0 
0.0053665201059923673 0 0 0 0 0 0 0 0 0 0 0 0 5.410588386709354e-20 1.8135934930225132e-21 5.410588386709354e-20 1.8135934930225132e-21 0 0 
0.0064289772130523837 0 0 0 0 0 0 0 0 0 0 0 0 9.9726549010618123e-20 -5.8853900583147919e-22 9.9726549010618123e-20 -5.8853900583147919e-22 0 0 
0.0075850403960396329 0 0 0 0 0 0 0 0 0 0 0 0 2.2057763650461547e-19 -1.090637637651167e-21 2.2057763650461547e-19 -1.090637637651167e-21 0 0 
0.0088336519977958439 0 0 0 0 0 0 0 0 0 0 0 0 2.046047788762165e-19 1.3168715351844201e-21 2.046047788762165e-19 1.3168715351844201e-21 0 0 
0.010174383216260852 0 0 0 0 0 0 0 0 0 0 0 0 2.3855888866029318e-21 -9.9923417996405743e-22 2.3855888866029318e-21 -9.9923417996405743e-22 0 0 
0.011606612792556703 0 0 0 0 0 0 0 0 0 0 0 0 2.1482542252492171e-19 2.3334765080120911e-21 2.1482542252492171e-19 2.3334765080120911e-21 0 0 
0.013129096547335295 0 0 0 0 0 0 0 0 0 0 0 0 1.213043824696764e-19 2.4261207366180302e-21 1.213043824696764e-19 2.4261207366180302e-21 0 0 
0.014740625628899828 0 0 0 0 0 0 0 0 0 0 0 0 1.0494274995337752e-19 4.8869830589632875e-21 1.0494274995337752e-19 4.8869830589632875e-21 0 0 
0.016440405504997868 0 0 0 0 0 0 0 0 0 0 0 0 2.0546504671327165e-19 -5.2393619999108773e-21 2.0546504671327165e-19 -5.2393619999108773e-21 0 0 
0.018227514417767848 0 0 0 0 0 0 0 0 0 0 0 0 -2.9738797382506451e-20 -2.2069178742914778e-21 -2.9738797382506451e-20 -2.2069178742914778e-21 0 0 
0.020100568866453228 0 0 0 0 0 0 0 0 0 0 0 0 3.982245992177288e-19 -6.4172671921863887e-21 3.982245992177288e-19 -6.4172671921863887e-21 0 0 
0.022058182372850482 0 0 0 0 0 0 0 0 0 0 0 0 4.1981732192781303e-19 -6.0053312471349809e-22 4.1981732192781303e-19 -6.0053312471349809e-22 0 0 
0.024099266216842136 0 0 0 0 0 0 0 0 0 0 0 0 4.4659150399492943e-19 -1.0460526026345588e-20 4.4659150399492943e-19 -1.0460526026345588e-20 0 0 
0.026222635783701015 0 0 0 0 0 0 0 0 0 0 0 0 4.8704394467122269e-21 -4.3592418281544558e-21 4.8704394467122269e-21 -4.3592418281544558e-21 0 0 
0.028426740495251068 0 0 0 0 0 0 0 0 0 0 0 0 1.597715896758424e-19 2.9679240378402633e-21 1.597715896758424e-19 2.9679240378402633e-21 0 0 
